repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
aws/aws-cli,10157,2026-03-25 13:42:03+00:00,2026-03-25 14:59:16+00:00,0,['bug'],3,1
aws/aws-cli,10153,2026-03-24 15:26:23+00:00,2026-03-25 08:35:32+00:00,0,"['bug', 'response-requested', 'acm', 'p3']",3,1
aws/aws-cli,10135,2026-03-16 20:04:27+00:00,2026-03-16 20:26:24+00:00,0,[],2,1
aws/aws-cli,10121,2026-03-12 10:14:16+00:00,2026-03-24 15:37:50+00:00,12,"['bug', 'closing-soon', 'response-requested', 'p3', 'benchmarking']",3,1
aws/aws-cli,10116,2026-03-08 20:14:41+00:00,2026-03-23 18:03:49+00:00,14,"['bug', 'sso', 'p3']",6,1
aws/aws-cli,10061,2026-02-06 21:36:58+00:00,2026-03-06 23:06:40+00:00,28,"['bug', 'cloudformation', 'response-requested', 'closed-for-staleness', 'p2']",4,1
aws/aws-cli,10057,2026-02-05 22:24:39+00:00,2026-02-16 19:59:34+00:00,10,"['closing-soon', 'response-requested', 'service-api', 'ecs', 'p3']",3,1
aws/aws-cli,10043,2026-02-01 06:31:17+00:00,2026-02-27 23:12:02+00:00,26,"['service-api', 'kafka', 'p1']",3,1
aws/aws-cli,10038,2026-01-29 13:42:45+00:00,2026-02-07 05:16:09+00:00,8,"['bug', 'p1', 'regression']",5,1
aws/aws-cli,10037,2026-01-29 10:51:31+00:00,2026-02-05 18:25:48+00:00,7,"['bug', 'closing-soon', 'p3']",4,1
aws/aws-cli,10031,2026-01-29 01:16:24+00:00,2026-01-29 15:53:32+00:00,0,"['bug', 'needs-triage', 'potential-regression']",9,1
aws/aws-cli,10026,2026-01-28 14:25:23+00:00,2026-02-16 19:58:23+00:00,19,"['bug', 's3', 'closing-soon', 'response-requested', 'p3']",3,1
