repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
meta-llama/llama-stack,5283,2026-03-25 14:58:19+00:00,2026-03-26 12:15:39+00:00,0,[],0,1
meta-llama/llama-stack,5256,2026-03-23 19:25:14+00:00,2026-03-25 08:54:48+00:00,1,['enhancement'],0,1
meta-llama/llama-stack,5221,2026-03-19 20:16:58+00:00,2026-03-20 17:08:49+00:00,0,['bug'],2,1
meta-llama/llama-stack,5181,2026-03-17 19:12:58+00:00,2026-03-18 13:25:52+00:00,0,['tech-debt'],0,1
meta-llama/llama-stack,5180,2026-03-17 18:21:51+00:00,2026-03-27 13:15:40+00:00,9,['enhancement'],0,1
meta-llama/llama-stack,5179,2026-03-17 18:20:28+00:00,2026-03-18 19:26:30+00:00,1,['enhancement'],0,1
meta-llama/llama-stack,5178,2026-03-17 16:57:56+00:00,2026-03-17 18:05:35+00:00,0,['bug'],2,1
meta-llama/llama-stack,5161,2026-03-16 14:57:40+00:00,2026-03-17 14:05:18+00:00,0,['bug'],2,1
meta-llama/llama-stack,5112,2026-03-12 08:47:38+00:00,2026-03-26 15:11:06+00:00,14,['bug'],5,1
meta-llama/llama-stack,5040,2026-03-03 21:28:40+00:00,2026-03-24 08:39:46+00:00,20,[],5,1
meta-llama/llama-stack,5031,2026-03-02 03:17:50+00:00,2026-03-04 18:03:46+00:00,2,['tech-debt'],6,1
meta-llama/llama-stack,5013,2026-02-27 15:26:02+00:00,2026-03-06 21:38:53+00:00,7,['enhancement'],3,1
meta-llama/llama-stack,4990,2026-02-24 14:47:07+00:00,2026-02-25 14:44:57+00:00,0,['tech-debt'],0,1
meta-llama/llama-stack,4988,2026-02-24 14:46:42+00:00,2026-02-25 14:44:56+00:00,0,['tech-debt'],0,1
meta-llama/llama-stack,4987,2026-02-24 14:46:29+00:00,2026-02-25 14:44:56+00:00,0,['tech-debt'],0,1
meta-llama/llama-stack,4953,2026-02-19 16:18:03+00:00,2026-02-23 20:49:23+00:00,4,['tech-debt'],0,1
meta-llama/llama-stack,4949,2026-02-18 21:20:38+00:00,2026-02-26 15:56:43+00:00,7,['bug'],0,1
meta-llama/llama-stack,4945,2026-02-18 10:20:33+00:00,2026-02-18 15:52:07+00:00,0,['bug'],0,1
meta-llama/llama-stack,4934,2026-02-17 14:51:32+00:00,2026-02-17 21:16:16+00:00,0,['tech-debt'],0,1
meta-llama/llama-stack,4926,2026-02-16 14:02:22+00:00,2026-02-17 15:15:30+00:00,1,[],0,1
meta-llama/llama-stack,4922,2026-02-16 09:24:06+00:00,2026-03-12 14:29:00+00:00,24,['bug'],3,1
meta-llama/llama-stack,4908,2026-02-13 17:39:17+00:00,2026-02-16 10:04:50+00:00,2,[],0,1
meta-llama/llama-stack,4906,2026-02-13 17:10:08+00:00,2026-02-13 17:10:35+00:00,0,[],0,1
meta-llama/llama-stack,4896,2026-02-12 14:17:47+00:00,2026-02-16 10:35:26+00:00,3,[],0,1
meta-llama/llama-stack,4894,2026-02-12 10:58:51+00:00,2026-02-12 16:49:52+00:00,0,['bug'],1,1
meta-llama/llama-stack,4892,2026-02-11 20:23:27+00:00,2026-02-13 15:30:17+00:00,1,['tech-debt'],0,1
meta-llama/llama-stack,4848,2026-02-06 15:31:23+00:00,2026-02-06 15:40:42+00:00,0,['enhancement'],2,1
meta-llama/llama-stack,4840,2026-02-05 16:32:26+00:00,2026-03-11 16:53:25+00:00,34,[],2,1
meta-llama/llama-stack,4827,2026-02-04 11:26:18+00:00,2026-03-10 11:47:59+00:00,34,['enhancement'],0,1
meta-llama/llama-stack,4821,2026-02-03 15:22:26+00:00,2026-02-10 10:43:49+00:00,6,['bug'],0,1
meta-llama/llama-stack,4818,2026-02-03 14:07:59+00:00,2026-02-23 23:24:41+00:00,20,['tech-debt'],1,1
meta-llama/llama-stack,4811,2026-02-02 16:54:11+00:00,2026-02-03 16:11:24+00:00,0,['bug'],3,1
meta-llama/llama-stack,4808,2026-02-02 15:51:15+00:00,2026-02-16 15:32:52+00:00,13,['bug'],3,1
meta-llama/llama-stack,4781,2026-01-29 21:26:23+00:00,2026-03-10 11:32:34+00:00,39,['bug'],3,1
meta-llama/llama-stack,4776,2026-01-29 01:24:07+00:00,2026-02-23 20:22:21+00:00,25,['bug'],2,1
meta-llama/llama-stack,4754,2026-01-28 09:19:32+00:00,2026-02-03 13:40:54+00:00,6,[],5,1
