repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
pytest-dev/pytest,14330,2026-03-27 18:09:28+00:00,2026-03-27 19:46:40+00:00,0,[],0,1
pytest-dev/pytest,14328,2026-03-27 11:57:06+00:00,2026-03-27 12:04:35+00:00,0,[],2,1
pytest-dev/pytest,14326,2026-03-26 09:29:38+00:00,2026-03-26 15:47:07+00:00,0,"['type: enhancement', 'status: needs information', 'plugin: subtests']",2,1
pytest-dev/pytest,14315,2026-03-22 19:26:07+00:00,2026-03-26 13:13:18+00:00,3,[],1,1
pytest-dev/pytest,14300,2026-03-17 12:03:49+00:00,2026-03-17 12:11:25+00:00,0,[],1,1
pytest-dev/pytest,14297,2026-03-17 09:09:00+00:00,2026-03-17 09:21:09+00:00,0,[],1,1
pytest-dev/pytest,14253,2026-03-05 13:25:16+00:00,2026-03-06 13:35:56+00:00,1,[],5,1
pytest-dev/pytest,14204,2026-02-18 00:28:09+00:00,2026-02-18 08:39:20+00:00,0,[],2,1
pytest-dev/pytest,14195,2026-02-15 14:42:53+00:00,2026-02-16 14:52:48+00:00,1,[],0,1
pytest-dev/pytest,14162,2026-02-03 18:18:13+00:00,2026-02-06 17:21:53+00:00,2,[],2,1
pytest-dev/pytest,14156,2026-02-02 12:28:30+00:00,2026-02-02 12:35:54+00:00,0,[],0,1
