repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
pallets/flask,5965,2026-03-27 21:19:28+00:00,2026-03-27 21:21:38+00:00,0,[],1,1
pallets/flask,5961,2026-03-24 08:38:52+00:00,2026-03-24 13:55:59+00:00,0,[],4,1
pallets/flask,5948,2026-03-14 18:30:45+00:00,2026-03-16 18:59:21+00:00,2,[],0,1
pallets/flask,5942,2026-03-06 17:11:48+00:00,2026-03-06 19:50:53+00:00,0,[],4,1
pallets/flask,5936,2026-02-24 00:54:46+00:00,2026-02-24 00:57:37+00:00,0,[],1,1
pallets/flask,5934,2026-02-21 21:16:02+00:00,2026-02-21 21:27:24+00:00,0,[],0,1
pallets/flask,5933,2026-02-21 15:52:17+00:00,2026-02-21 17:55:11+00:00,0,[],1,1
pallets/flask,5932,2026-02-21 11:08:31+00:00,2026-02-21 15:04:40+00:00,0,[],2,1
pallets/flask,5929,2026-02-21 09:35:57+00:00,2026-02-21 09:36:23+00:00,0,[],0,1
pallets/flask,5919,2026-02-13 07:54:34+00:00,2026-02-13 08:00:30+00:00,0,[],1,1
pallets/flask,5916,2026-02-12 20:32:21+00:00,2026-02-12 21:07:52+00:00,0,[],1,1
pallets/flask,5915,2026-02-11 22:24:21+00:00,2026-02-11 22:47:07+00:00,0,[],2,1
pallets/flask,5912,2026-02-08 23:01:53+00:00,2026-02-09 03:59:02+00:00,0,[],0,1
pallets/flask,5907,2026-01-31 20:50:02+00:00,2026-01-31 21:17:45+00:00,0,[],0,1
pallets/flask,5902,2026-01-26 14:27:03+00:00,2026-01-26 15:20:29+00:00,0,[],1,1
pallets/flask,5901,2026-01-26 04:48:05+00:00,2026-01-26 04:51:33+00:00,0,[],2,1
pallets/flask,5897,2026-01-24 19:34:47+00:00,2026-01-26 05:03:12+00:00,1,[],5,1
pallets/flask,5895,2026-01-23 00:11:40+00:00,2026-01-25 01:18:37+00:00,2,[],0,1
pallets/flask,5887,2026-01-13 07:40:27+00:00,2026-01-13 15:05:06+00:00,0,[],1,1
pallets/flask,5881,2026-01-05 18:52:04+00:00,2026-01-25 18:36:51+00:00,19,['docs'],16,1
pallets/flask,5870,2025-12-24 15:27:55+00:00,2025-12-24 16:01:34+00:00,0,[],1,1
pallets/flask,5863,2025-12-15 16:29:24+00:00,2025-12-17 15:35:42+00:00,1,[],6,1
pallets/flask,5861,2025-12-13 10:43:23+00:00,2025-12-13 11:09:29+00:00,0,[],3,1
pallets/flask,5851,2025-11-21 08:56:06+00:00,2025-11-21 15:59:10+00:00,0,[],0,1
pallets/flask,5848,2025-11-19 07:09:10+00:00,2025-11-19 14:30:56+00:00,0,[],0,1
pallets/flask,5839,2025-10-30 21:35:46+00:00,2025-10-30 22:31:35+00:00,0,[],4,1
pallets/flask,5836,2025-10-25 20:08:38+00:00,2025-11-10 19:18:28+00:00,15,[],8,1
pallets/flask,5825,2025-10-07 15:41:58+00:00,2026-01-25 03:02:15+00:00,109,['docs'],4,1
pallets/flask,5819,2025-09-21 05:31:27+00:00,2025-09-21 05:59:42+00:00,0,[],0,1
pallets/flask,5817,2025-09-16 12:28:32+00:00,2026-01-05 18:57:14+00:00,111,['docs'],8,1
pallets/flask,5816,2025-09-14 16:38:15+00:00,2026-01-25 03:53:13+00:00,132,[],4,1
pallets/flask,5815,2025-09-13 18:19:56+00:00,2025-11-17 16:49:54+00:00,64,[],6,1
pallets/flask,5804,2025-09-01 14:24:02+00:00,2026-01-25 03:54:29+00:00,145,[],8,1
pallets/flask,5803,2025-08-30 01:20:49+00:00,2025-08-30 02:04:17+00:00,0,[],2,1
pallets/flask,5792,2025-08-03 03:15:59+00:00,2025-08-03 03:16:18+00:00,0,[],0,1
pallets/flask,5786,2025-07-30 09:18:04+00:00,2025-08-18 16:56:49+00:00,19,[],1,1
pallets/flask,5784,2025-07-28 22:48:31+00:00,2025-07-31 18:47:19+00:00,2,[],0,1
pallets/flask,5776,2025-07-16 09:06:28+00:00,2025-08-18 17:26:25+00:00,33,[],0,1
pallets/flask,5774,2025-07-15 21:08:57+00:00,2025-08-19 15:24:06+00:00,34,['async'],3,1
pallets/flask,5768,2025-07-09 10:11:48+00:00,2025-07-09 14:22:24+00:00,0,[],2,1
pallets/flask,5766,2025-07-06 15:33:57+00:00,2025-07-06 15:34:55+00:00,0,[],0,1
pallets/flask,5763,2025-06-23 02:47:18+00:00,2025-06-23 17:09:27+00:00,0,['docs'],1,1
pallets/flask,5756,2025-06-09 18:18:08+00:00,2025-06-09 18:33:22+00:00,0,[],1,1
pallets/flask,5755,2025-06-09 18:11:05+00:00,2025-06-09 18:13:39+00:00,0,[],1,1
pallets/flask,5751,2025-06-03 06:07:09+00:00,2025-06-03 11:18:10+00:00,0,[],1,1
pallets/flask,5746,2025-05-27 13:03:43+00:00,2025-05-27 13:35:07+00:00,0,[],1,1
pallets/flask,5745,2025-05-25 03:21:12+00:00,2025-05-25 03:57:26+00:00,0,[],3,1
pallets/flask,5738,2025-05-20 10:48:36+00:00,2025-05-20 12:18:26+00:00,0,[],3,1
pallets/flask,5729,2025-05-12 08:33:00+00:00,2025-08-19 19:36:01+00:00,99,[],9,1
pallets/flask,5726,2025-05-10 16:22:17+00:00,2025-05-10 16:45:20+00:00,0,[],1,1
pallets/flask,5721,2025-04-22 11:37:28+00:00,2025-04-22 11:40:56+00:00,0,[],0,1
pallets/flask,5718,2025-04-14 03:53:08+00:00,2025-08-18 18:47:07+00:00,126,['docs'],5,1
pallets/flask,5711,2025-04-09 14:00:37+00:00,2025-04-09 15:00:53+00:00,0,[],1,1
pallets/flask,5709,2025-04-06 08:05:19+00:00,2025-04-07 18:00:31+00:00,1,[],0,1
