repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
pytest-dev/pytest,14330,2026-03-27 18:09:28+00:00,2026-03-27 19:46:40+00:00,0,[],0,1
pytest-dev/pytest,14328,2026-03-27 11:57:06+00:00,2026-03-27 12:04:35+00:00,0,[],2,1
pytest-dev/pytest,14326,2026-03-26 09:29:38+00:00,2026-03-26 15:47:07+00:00,0,"['type: enhancement', 'status: needs information', 'plugin: subtests']",2,1
pytest-dev/pytest,14315,2026-03-22 19:26:07+00:00,2026-03-26 13:13:18+00:00,3,[],1,1
pytest-dev/pytest,14300,2026-03-17 12:03:49+00:00,2026-03-17 12:11:25+00:00,0,[],1,1
pytest-dev/pytest,14297,2026-03-17 09:09:00+00:00,2026-03-17 09:21:09+00:00,0,[],1,1
pytest-dev/pytest,14253,2026-03-05 13:25:16+00:00,2026-03-06 13:35:56+00:00,1,[],5,1
pytest-dev/pytest,14204,2026-02-18 00:28:09+00:00,2026-02-18 08:39:20+00:00,0,[],2,1
pytest-dev/pytest,14195,2026-02-15 14:42:53+00:00,2026-02-16 14:52:48+00:00,1,[],0,1
pytest-dev/pytest,14162,2026-02-03 18:18:13+00:00,2026-02-06 17:21:53+00:00,2,[],2,1
pytest-dev/pytest,14156,2026-02-02 12:28:30+00:00,2026-02-02 12:35:54+00:00,0,[],0,1
pytest-dev/pytest,14114,2026-01-15 13:50:42+00:00,2026-03-12 11:52:28+00:00,55,[],1,1
pytest-dev/pytest,14094,2026-01-07 22:32:48+00:00,2026-03-22 12:37:02+00:00,73,[],3,1
pytest-dev/pytest,14092,2026-01-07 10:26:35+00:00,2026-01-07 11:28:32+00:00,0,[],2,1
pytest-dev/pytest,14087,2026-01-04 22:25:06+00:00,2026-01-04 22:32:51+00:00,0,[],1,1
pytest-dev/pytest,14077,2025-12-30 15:41:39+00:00,2026-01-06 18:29:42+00:00,7,"['status: needs information', 'plugin: warnings']",12,1
pytest-dev/pytest,14064,2025-12-22 14:52:20+00:00,2025-12-22 15:10:33+00:00,0,[],1,1
pytest-dev/pytest,14057,2025-12-21 18:25:08+00:00,2025-12-23 14:56:26+00:00,1,[],3,1
pytest-dev/pytest,14052,2025-12-18 12:31:22+00:00,2026-01-03 22:54:27+00:00,16,[],2,1
pytest-dev/pytest,14051,2025-12-17 15:29:05+00:00,2025-12-18 19:23:59+00:00,1,[],1,1
pytest-dev/pytest,14043,2025-12-13 05:13:44+00:00,2025-12-14 00:33:17+00:00,0,"['type: question', 'topic: config']",2,1
pytest-dev/pytest,14035,2025-12-08 10:00:57+00:00,2025-12-09 14:57:01+00:00,1,[],2,1
pytest-dev/pytest,14028,2025-12-04 05:36:06+00:00,2025-12-04 06:05:07+00:00,0,"['invalid', 'topic: typing']",1,1
pytest-dev/pytest,14023,2025-12-02 07:04:16+00:00,2025-12-08 12:12:12+00:00,6,[],0,1
pytest-dev/pytest,14009,2025-11-27 08:23:54+00:00,2025-11-27 22:35:39+00:00,0,[],2,1
pytest-dev/pytest,14003,2025-11-25 14:30:24+00:00,2025-11-30 21:51:12+00:00,5,[],0,1
pytest-dev/pytest,13985,2025-11-20 17:32:40+00:00,2025-11-21 17:32:03+00:00,0,[],6,1
pytest-dev/pytest,13983,2025-11-19 17:06:12+00:00,2025-11-22 11:36:29+00:00,2,[],5,1
pytest-dev/pytest,13977,2025-11-18 07:35:10+00:00,2025-11-18 08:04:05+00:00,0,[],3,1
pytest-dev/pytest,13974,2025-11-17 17:06:19+00:00,2025-11-20 15:00:08+00:00,2,"['type: bug', 'topic: parametrize', 'type: regression']",1,1
pytest-dev/pytest,13973,2025-11-17 10:50:41+00:00,2025-11-26 21:15:47+00:00,9,"['type: proposal', 'type: docs']",2,1
pytest-dev/pytest,13972,2025-11-16 22:16:25+00:00,2025-11-20 21:42:03+00:00,3,[],3,1
pytest-dev/pytest,13965,2025-11-14 10:22:09+00:00,2025-11-22 11:59:48+00:00,8,"['type: performance', 'type: regression', 'plugin: unittest', 'plugin: subtests']",3,1
pytest-dev/pytest,13957,2025-11-13 14:44:54+00:00,2025-11-14 19:18:20+00:00,1,"['topic: parametrize', 'type: regression']",9,1
