repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
psf/requests,7299,2026-03-27 17:18:04+00:00,2026-03-27 17:18:50+00:00,0,[],0,1
psf/requests,7284,2026-03-22 14:28:52+00:00,2026-03-25 02:53:40+00:00,2,[],2,1
psf/requests,7276,2026-03-19 06:16:43+00:00,2026-03-19 06:37:35+00:00,0,[],1,1
psf/requests,7274,2026-03-19 02:19:49+00:00,2026-03-19 03:54:50+00:00,0,[],2,1
psf/requests,7265,2026-03-13 12:01:15+00:00,2026-03-13 18:29:49+00:00,0,[],1,1
psf/requests,7248,2026-03-06 12:25:14+00:00,2026-03-06 14:27:58+00:00,0,[],3,1
psf/requests,7247,2026-03-06 04:06:30+00:00,2026-03-06 04:22:23+00:00,0,[],5,1
psf/requests,7234,2026-03-01 19:31:14+00:00,2026-03-17 04:32:48+00:00,15,[],2,1
psf/requests,7231,2026-03-01 00:59:14+00:00,2026-03-03 19:28:53+00:00,2,[],0,1
psf/requests,7222,2026-02-23 17:08:46+00:00,2026-02-23 18:31:20+00:00,0,[],4,1
psf/requests,7219,2026-02-22 13:29:04+00:00,2026-02-22 22:02:38+00:00,0,[],6,1
psf/requests,7198,2026-02-09 16:05:21+00:00,2026-02-09 19:30:02+00:00,0,[],2,1
psf/requests,7182,2026-01-28 06:15:12+00:00,2026-01-28 06:16:34+00:00,0,[],0,1
psf/requests,7177,2026-01-20 16:13:55+00:00,2026-01-20 17:26:12+00:00,0,[],2,1
psf/requests,7172,2026-01-15 18:08:49+00:00,2026-01-15 18:12:27+00:00,0,[],0,1
psf/requests,7171,2026-01-15 18:08:49+00:00,2026-01-15 18:12:27+00:00,0,[],0,1
psf/requests,7170,2026-01-15 18:08:37+00:00,2026-01-15 18:12:27+00:00,0,[],2,1
psf/requests,7169,2026-01-15 14:18:01+00:00,2026-01-15 15:26:49+00:00,0,[],1,1
psf/requests,7167,2026-01-12 09:35:42+00:00,2026-01-12 12:35:40+00:00,0,[],0,1
psf/requests,7166,2026-01-12 09:35:13+00:00,2026-01-12 12:35:07+00:00,0,[],0,1
psf/requests,7165,2026-01-12 09:34:52+00:00,2026-01-12 12:34:46+00:00,0,[],0,1
psf/requests,7164,2026-01-12 09:34:24+00:00,2026-01-12 12:34:34+00:00,0,[],0,1
psf/requests,7163,2026-01-12 09:34:02+00:00,2026-01-12 12:34:21+00:00,0,[],0,1
psf/requests,7162,2026-01-12 09:33:38+00:00,2026-01-12 12:34:06+00:00,0,[],0,1
psf/requests,7161,2026-01-12 09:33:17+00:00,2026-01-12 12:33:47+00:00,0,[],0,1
psf/requests,7160,2026-01-12 09:31:32+00:00,2026-01-12 12:33:12+00:00,0,[],0,1
psf/requests,7159,2026-01-12 09:31:11+00:00,2026-01-12 12:32:57+00:00,0,[],0,1
psf/requests,7158,2026-01-12 09:30:17+00:00,2026-01-12 12:32:35+00:00,0,[],0,1
psf/requests,7157,2026-01-12 09:28:14+00:00,2026-01-12 12:32:05+00:00,0,[],0,1
psf/requests,7156,2026-01-11 17:09:25+00:00,2026-01-11 20:13:50+00:00,0,[],0,1
psf/requests,7155,2026-01-11 17:08:25+00:00,2026-01-11 20:13:33+00:00,0,[],0,1
psf/requests,7154,2026-01-11 17:07:41+00:00,2026-01-11 20:13:17+00:00,0,[],0,1
psf/requests,7153,2026-01-11 17:02:49+00:00,2026-01-11 20:12:58+00:00,0,[],0,1
psf/requests,7152,2026-01-11 16:57:22+00:00,2026-01-30 20:16:32+00:00,19,[],2,1
psf/requests,7150,2026-01-08 23:35:23+00:00,2026-01-09 00:44:36+00:00,0,[],1,1
psf/requests,7140,2026-01-04 03:18:23+00:00,2026-01-04 03:18:34+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,7134,2025-12-29 00:11:56+00:00,2025-12-29 00:12:05+00:00,0,"['Feature Request', 'actions/autoclose-feat']",1,1
psf/requests,7132,2025-12-28 23:48:37+00:00,2025-12-28 23:48:46+00:00,0,"['Feature Request', 'actions/autoclose-feat']",1,1
psf/requests,7126,2025-12-19 00:13:00+00:00,2025-12-19 03:02:12+00:00,0,[],1,1
psf/requests,7118,2025-12-11 10:14:57+00:00,2025-12-11 10:58:34+00:00,0,[],0,1
psf/requests,7117,2025-12-11 10:14:04+00:00,2025-12-11 10:58:15+00:00,0,[],0,1
psf/requests,7116,2025-12-11 10:13:15+00:00,2025-12-11 10:57:55+00:00,0,[],0,1
psf/requests,7115,2025-12-11 10:09:20+00:00,2025-12-11 10:57:31+00:00,0,[],0,1
psf/requests,7114,2025-12-11 10:02:17+00:00,2025-12-11 10:56:51+00:00,0,[],0,1
psf/requests,7113,2025-12-11 10:01:03+00:00,2025-12-11 10:57:13+00:00,0,[],0,1
psf/requests,7112,2025-12-11 10:00:01+00:00,2025-12-11 10:59:01+00:00,0,[],0,1
psf/requests,7085,2025-11-11 14:11:09+00:00,2025-12-19 12:04:46+00:00,37,[],4,1
psf/requests,7079,2025-11-01 15:23:46+00:00,2025-11-01 15:23:54+00:00,0,"['Feature Request', 'actions/autoclose-feat']",1,1
psf/requests,7055,2025-10-21 10:29:31+00:00,2025-10-21 13:54:53+00:00,0,[],1,1
psf/requests,7048,2025-10-18 23:11:05+00:00,2025-10-18 23:11:12+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,7047,2025-10-18 09:17:55+00:00,2025-10-18 09:18:03+00:00,0,"['Feature Request', 'actions/autoclose-feat']",1,1
psf/requests,7045,2025-10-16 06:43:43+00:00,2025-10-16 06:43:53+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,7041,2025-10-10 16:36:45+00:00,2026-01-11 20:39:24+00:00,93,[],4,1
psf/requests,7039,2025-10-02 21:35:39+00:00,2025-10-02 22:52:37+00:00,0,[],0,1
psf/requests,7035,2025-09-22 18:32:11+00:00,2026-02-20 00:56:35+00:00,150,[],5,1
psf/requests,7034,2025-09-20 06:52:42+00:00,2026-02-13 02:13:31+00:00,145,[],4,1
psf/requests,7033,2025-09-19 20:09:46+00:00,2025-11-04 18:15:45+00:00,45,"['Propose Close', 'Needs More Information']",1,1
psf/requests,7032,2025-09-18 09:25:31+00:00,2026-02-13 02:16:23+00:00,147,[],6,1
psf/requests,7031,2025-09-15 02:56:19+00:00,2025-09-15 02:58:21+00:00,0,[],0,1
psf/requests,7029,2025-09-12 17:58:07+00:00,2025-09-12 17:58:14+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,7028,2025-09-12 10:30:18+00:00,2025-09-12 10:30:26+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,7027,2025-09-11 03:13:39+00:00,2025-09-11 03:34:15+00:00,0,[],3,1
psf/requests,7024,2025-09-08 06:22:59+00:00,2025-09-08 13:27:58+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,7022,2025-09-05 08:49:52+00:00,2025-09-10 12:37:46+00:00,5,[],2,1
psf/requests,7021,2025-09-04 16:39:52+00:00,2025-09-04 17:47:43+00:00,0,[],2,1
psf/requests,7020,2025-09-03 21:23:25+00:00,2025-09-03 21:28:12+00:00,0,[],0,1
psf/requests,7018,2025-08-28 17:03:31+00:00,2025-08-29 00:03:58+00:00,0,[],1,1
psf/requests,7016,2025-08-21 10:10:55+00:00,2026-02-13 02:19:19+00:00,175,[],6,1
psf/requests,7014,2025-08-20 19:09:35+00:00,2026-03-06 15:19:28+00:00,197,[],6,1
psf/requests,7013,2025-08-19 04:52:57+00:00,2026-03-25 15:12:11+00:00,218,[],6,1
psf/requests,7006,2025-08-06 06:28:47+00:00,2025-08-06 11:28:33+00:00,0,[],1,1
psf/requests,7002,2025-08-03 03:16:40+00:00,2025-08-03 03:16:48+00:00,0,[],0,1
psf/requests,7001,2025-07-31 13:21:53+00:00,2025-07-31 15:05:25+00:00,0,[],1,1
psf/requests,6988,2025-07-09 16:31:31+00:00,2025-07-09 17:28:26+00:00,0,['Propose Close'],2,1
psf/requests,6981,2025-07-01 03:18:36+00:00,2026-02-10 19:36:32+00:00,224,[],2,1
psf/requests,6980,2025-06-30 14:27:09+00:00,2025-06-30 14:27:17+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,6979,2025-06-29 12:49:09+00:00,2025-06-29 12:49:17+00:00,0,"['Question/Not a bug', 'actions/autoclose-qa']",1,1
psf/requests,6978,2025-06-27 16:45:54+00:00,2026-02-13 02:24:20+00:00,230,[],9,1
psf/requests,6977,2025-06-24 01:44:33+00:00,2025-06-24 01:52:03+00:00,0,[],2,1
psf/requests,6976,2025-06-19 14:13:15+00:00,2025-06-19 14:18:34+00:00,0,[],4,1
