repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
scrapy/scrapy,7319,2026-03-09 08:05:07+00:00,2026-03-09 08:20:28+00:00,0,[],0,1
scrapy/scrapy,7298,2026-02-27 20:55:52+00:00,2026-02-28 06:36:59+00:00,0,[],5,1
scrapy/scrapy,7295,2026-02-27 08:49:49+00:00,2026-02-27 09:02:21+00:00,0,[],3,1
scrapy/scrapy,7291,2026-02-26 03:32:19+00:00,2026-02-26 03:34:03+00:00,0,[],0,1
scrapy/scrapy,7290,2026-02-26 03:26:23+00:00,2026-02-26 03:31:11+00:00,0,[],0,1
scrapy/scrapy,7266,2026-02-18 20:52:28+00:00,2026-03-19 08:16:43+00:00,28,"['enhancement', 'http']",0,1
scrapy/scrapy,7249,2026-02-12 19:12:06+00:00,2026-03-24 20:31:14+00:00,40,['cleanup'],0,1
scrapy/scrapy,7228,2026-01-31 16:08:25+00:00,2026-03-27 11:21:26+00:00,54,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7216,2026-01-12 08:24:40+00:00,2026-02-13 17:12:59+00:00,32,"['enhancement', 'CI']",5,1
scrapy/scrapy,7195,2025-12-19 08:08:02+00:00,2025-12-22 09:00:40+00:00,3,"['good first issue', 'docs', 'cleanup']",2,1
scrapy/scrapy,7190,2025-12-17 08:44:36+00:00,2026-01-31 15:48:56+00:00,45,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7189,2025-12-16 19:23:31+00:00,2026-03-24 10:29:23+00:00,97,"['enhancement', 'CI', 'asyncio']",0,1
scrapy/scrapy,7187,2025-12-16 19:15:17+00:00,2026-01-31 15:48:55+00:00,45,"['enhancement', 'asyncio']",1,1
scrapy/scrapy,7186,2025-12-16 19:11:16+00:00,2026-03-25 08:21:10+00:00,98,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7185,2025-12-16 19:09:50+00:00,2026-01-31 15:48:56+00:00,45,"['enhancement', 'asyncio']",2,1
scrapy/scrapy,7184,2025-12-16 18:57:17+00:00,2026-03-24 14:41:17+00:00,97,"['enhancement', 'asyncio', 'media pipelines']",0,1
scrapy/scrapy,7183,2025-12-16 18:56:41+00:00,2026-03-24 14:41:17+00:00,97,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7180,2025-12-16 08:54:36+00:00,2026-01-12 17:46:20+00:00,27,"['enhancement', 'good first issue', 'CI']",4,1
scrapy/scrapy,7170,2025-12-07 10:38:13+00:00,2025-12-07 11:40:12+00:00,0,[],0,1
scrapy/scrapy,7169,2025-12-05 15:17:50+00:00,2025-12-08 10:28:55+00:00,2,['needs more info'],6,1
scrapy/scrapy,7158,2025-11-20 12:43:41+00:00,2026-01-05 11:55:59+00:00,45,"['bug', 'performance']",9,1
scrapy/scrapy,7152,2025-11-16 22:59:34+00:00,2025-12-05 18:17:20+00:00,18,[],2,1
scrapy/scrapy,7150,2025-11-15 12:59:25+00:00,2025-12-10 09:42:50+00:00,24,"['enhancement', 'asyncio']",2,1
scrapy/scrapy,7149,2025-11-15 12:58:56+00:00,2025-12-16 08:35:09+00:00,30,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7148,2025-11-15 12:58:01+00:00,2025-12-09 15:07:38+00:00,24,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7147,2025-11-15 12:56:58+00:00,2025-12-09 14:03:33+00:00,24,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,7143,2025-11-14 08:47:57+00:00,2025-11-27 20:16:03+00:00,13,"['good first issue', 'CI', 'cleanup']",4,1
scrapy/scrapy,7141,2025-11-13 11:01:20+00:00,2025-12-11 08:48:26+00:00,27,"['CI', 'cleanup']",1,1
scrapy/scrapy,7135,2025-11-07 07:25:15+00:00,2025-11-07 07:29:41+00:00,0,['docs'],2,1
scrapy/scrapy,7077,2025-10-05 16:05:28+00:00,2025-12-31 07:55:47+00:00,86,['wontfix'],18,1
scrapy/scrapy,7067,2025-10-02 14:47:58+00:00,2025-10-02 14:58:13+00:00,0,['spam'],0,1
scrapy/scrapy,7066,2025-10-02 14:32:21+00:00,2025-10-02 14:44:02+00:00,0,['spam'],3,1
scrapy/scrapy,7060,2025-09-28 12:05:01+00:00,2026-02-13 08:45:11+00:00,137,"['bug', 'help wanted', 'https', 'CI']",25,1
scrapy/scrapy,7057,2025-09-26 04:38:34+00:00,2025-09-29 08:41:24+00:00,3,"['bug', 'needs more info']",3,1
scrapy/scrapy,7055,2025-09-18 17:06:53+00:00,2025-09-18 17:10:33+00:00,0,[],1,1
scrapy/scrapy,7048,2025-09-10 20:03:11+00:00,2025-09-11 08:04:39+00:00,0,['spam'],3,1
scrapy/scrapy,7044,2025-09-07 08:03:14+00:00,2026-02-12 19:12:30+00:00,158,"['enhancement', 'asyncio']",5,1
scrapy/scrapy,7042,2025-09-04 08:07:25+00:00,2025-09-10 13:17:17+00:00,6,['bug'],3,1
scrapy/scrapy,7038,2025-09-02 20:12:36+00:00,2025-11-30 20:26:19+00:00,89,"['good first issue', 'cleanup']",9,1
scrapy/scrapy,7028,2025-08-26 12:56:59+00:00,2025-11-25 08:11:27+00:00,90,['needs more info'],4,1
scrapy/scrapy,7003,2025-08-11 10:07:39+00:00,2025-08-18 15:00:24+00:00,7,"['bug', 'CI']",0,1
scrapy/scrapy,6996,2025-08-08 07:33:18+00:00,2025-10-06 09:19:36+00:00,59,"['bug', 'CI']",1,1
scrapy/scrapy,6988,2025-08-05 04:47:09+00:00,2025-08-07 19:26:11+00:00,2,"['good first issue', 'cleanup']",3,1
scrapy/scrapy,6973,2025-07-28 14:00:29+00:00,2025-07-28 15:00:50+00:00,0,[],2,1
scrapy/scrapy,6972,2025-07-28 12:38:42+00:00,2025-07-28 18:37:47+00:00,0,"['bug', 'CI']",5,1
scrapy/scrapy,6971,2025-07-27 18:18:51+00:00,2025-10-24 05:41:15+00:00,88,['discuss'],6,1
scrapy/scrapy,6964,2025-07-24 09:15:00+00:00,2025-09-01 09:39:40+00:00,39,[],4,1
scrapy/scrapy,6955,2025-07-15 07:11:25+00:00,2026-02-05 18:18:03+00:00,205,"['enhancement', 'docs']",0,1
scrapy/scrapy,6951,2025-07-12 01:33:14+00:00,2025-07-12 05:38:13+00:00,0,[],0,1
scrapy/scrapy,6946,2025-07-09 18:55:21+00:00,2025-12-05 18:19:30+00:00,148,"['enhancement', 'CI']",4,1
scrapy/scrapy,6944,2025-07-05 14:16:30+00:00,2025-07-05 14:38:14+00:00,0,"['enhancement', 'docs']",1,1
scrapy/scrapy,6939,2025-07-04 21:24:32+00:00,2025-07-04 22:28:42+00:00,0,[],0,1
scrapy/scrapy,6932,2025-07-01 07:55:36+00:00,2025-07-01 08:02:27+00:00,0,['spam'],2,1
scrapy/scrapy,6927,2025-06-28 18:30:45+00:00,2025-09-02 16:51:48+00:00,65,['cleanup'],1,1
scrapy/scrapy,6924,2025-06-28 14:11:21+00:00,2025-12-11 10:25:18+00:00,165,"['good first issue', 'cleanup']",6,1
scrapy/scrapy,6917,2025-06-26 19:36:00+00:00,2025-06-30 11:51:07+00:00,3,"['good first issue', 'cleanup']",4,1
scrapy/scrapy,6915,2025-06-26 06:47:55+00:00,2025-08-01 09:01:41+00:00,36,['bug'],5,1
scrapy/scrapy,6913,2025-06-25 18:30:31+00:00,2025-06-28 19:45:16+00:00,3,[],5,1
scrapy/scrapy,6912,2025-06-25 17:45:59+00:00,2026-02-06 20:18:00+00:00,226,"['enhancement', 'good first issue']",13,1
scrapy/scrapy,6908,2025-06-23 18:28:21+00:00,2025-07-01 12:24:10+00:00,7,"['bug', 'CI']",2,1
scrapy/scrapy,6898,2025-06-21 01:13:25+00:00,2025-06-23 15:49:58+00:00,2,[],8,1
scrapy/scrapy,6896,2025-06-20 21:12:59+00:00,2025-06-22 19:57:10+00:00,1,"['enhancement', 'discuss']",12,1
scrapy/scrapy,6894,2025-06-20 07:31:46+00:00,2025-06-23 16:56:30+00:00,3,"['bug', 'Windows']",2,1
scrapy/scrapy,6878,2025-06-08 18:07:15+00:00,2025-06-09 07:53:43+00:00,0,"['bug', 'CI', 'upstream issue']",0,1
scrapy/scrapy,6876,2025-06-08 15:13:05+00:00,2025-10-09 20:14:35+00:00,123,"['bug', 'good first issue']",9,1
scrapy/scrapy,6861,2025-06-05 07:06:32+00:00,2025-06-05 13:02:32+00:00,0,['bug'],5,1
scrapy/scrapy,6859,2025-06-04 20:09:28+00:00,2026-03-25 10:42:45+00:00,293,"['bug', 'help wanted']",9,1
scrapy/scrapy,6857,2025-06-04 10:32:07+00:00,2025-06-06 11:02:16+00:00,2,['bug'],0,1
scrapy/scrapy,6843,2025-05-30 02:16:33+00:00,2026-02-10 03:13:05+00:00,256,[],7,1
scrapy/scrapy,6838,2025-05-29 15:45:37+00:00,2025-06-04 11:02:30+00:00,5,"['good first issue', 'cleanup']",0,1
scrapy/scrapy,6837,2025-05-29 10:38:00+00:00,2025-05-29 15:54:01+00:00,0,[],3,1
scrapy/scrapy,6834,2025-05-28 09:23:29+00:00,2025-07-02 19:35:58+00:00,35,"['bug', 'CI']",2,1
scrapy/scrapy,6830,2025-05-28 02:48:43+00:00,2025-11-25 08:12:20+00:00,181,['needs more info'],2,1
scrapy/scrapy,6823,2025-05-24 05:41:05+00:00,2025-05-24 07:47:43+00:00,0,[],1,1
scrapy/scrapy,6820,2025-05-21 17:23:24+00:00,2026-02-19 10:22:01+00:00,273,['bug'],2,1
scrapy/scrapy,6818,2025-05-20 18:35:00+00:00,2025-05-21 12:07:06+00:00,0,[],1,1
scrapy/scrapy,6813,2025-05-19 03:41:30+00:00,2025-05-19 05:34:24+00:00,0,[],0,1
scrapy/scrapy,6812,2025-05-19 03:03:26+00:00,2025-05-20 05:51:32+00:00,1,"['bug', 'good first issue', 'docs']",2,1
scrapy/scrapy,6811,2025-05-19 01:12:00+00:00,2025-05-20 06:42:23+00:00,1,[],2,1
scrapy/scrapy,6805,2025-05-17 07:31:34+00:00,2026-02-12 08:30:46+00:00,271,"['enhancement', 'http', 'HTTP/2', 'asyncio']",3,1
scrapy/scrapy,6800,2025-05-15 09:14:43+00:00,2025-11-27 15:13:06+00:00,196,"['enhancement', 'docs', 'asyncio']",5,1
scrapy/scrapy,6792,2025-05-12 15:42:16+00:00,2025-05-28 13:55:45+00:00,15,"['enhancement', 'asyncio']",1,1
scrapy/scrapy,6791,2025-05-12 15:36:46+00:00,2025-07-27 18:17:52+00:00,76,"['enhancement', 'asyncio']",2,1
scrapy/scrapy,6790,2025-05-12 15:33:15+00:00,2025-05-28 13:55:45+00:00,15,"['enhancement', 'asyncio']",1,1
scrapy/scrapy,6789,2025-05-12 15:30:25+00:00,2025-05-14 14:21:20+00:00,1,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,6788,2025-05-12 09:05:09+00:00,2025-05-12 09:48:32+00:00,0,"['enhancement', 'docs']",2,1
scrapy/scrapy,6786,2025-05-11 09:28:02+00:00,2025-06-28 13:04:07+00:00,48,['docs'],0,1
scrapy/scrapy,6784,2025-05-09 15:17:57+00:00,2025-06-23 17:36:55+00:00,45,['bug'],3,1
scrapy/scrapy,6783,2025-05-08 09:36:02+00:00,2025-06-23 17:36:55+00:00,46,['bug'],4,1
scrapy/scrapy,6781,2025-05-07 14:16:45+00:00,2025-05-15 17:51:28+00:00,8,"['enhancement', 'asyncio']",0,1
scrapy/scrapy,6778,2025-05-07 13:48:31+00:00,2025-12-31 18:03:17+00:00,238,"['enhancement', 'asyncio']",2,1
scrapy/scrapy,6763,2025-04-29 18:52:47+00:00,2025-11-15 12:38:30+00:00,199,['cleanup'],4,1
scrapy/scrapy,6762,2025-04-29 13:38:31+00:00,2025-05-05 16:51:16+00:00,6,"['enhancement', 'docs']",2,1
scrapy/scrapy,6755,2025-04-22 22:47:53+00:00,2025-04-23 10:43:38+00:00,0,[],24,1
scrapy/scrapy,6753,2025-04-22 19:40:58+00:00,2025-04-22 20:19:52+00:00,0,[],2,1
scrapy/scrapy,6750,2025-04-21 14:04:48+00:00,2025-08-20 07:52:23+00:00,120,['cleanup'],1,1
scrapy/scrapy,6746,2025-04-09 22:58:27+00:00,2025-04-28 09:10:13+00:00,18,"['enhancement', 'docs', 'discuss']",1,1
scrapy/scrapy,6739,2025-03-19 14:40:33+00:00,2025-03-20 10:49:45+00:00,0,"['enhancement', 'good first issue']",0,1
scrapy/scrapy,6731,2025-03-14 09:20:31+00:00,2025-03-20 12:02:41+00:00,6,"['enhancement', 'good first issue']",3,1
scrapy/scrapy,6718,2025-03-10 11:05:31+00:00,2025-12-16 08:42:53+00:00,280,['asyncio'],1,1
