repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
apple/swift,88101,2026-03-25 18:15:14+00:00,2026-03-27 15:49:43+00:00,1,[],1,1
apple/swift,88058,2026-03-24 14:08:28+00:00,2026-03-25 14:06:22+00:00,0,['triage needed'],1,1
apple/swift,88023,2026-03-22 18:38:18+00:00,2026-03-22 20:11:28+00:00,0,[],0,1
apple/swift,88021,2026-03-22 02:08:34+00:00,2026-03-24 18:40:48+00:00,2,"['crash', 'triage needed']",1,1
apple/swift,88000,2026-03-20 22:23:58+00:00,2026-03-22 18:06:54+00:00,1,"['Windows', 'verifier', 'crash', 'SIL', 'ownership']",6,1
apple/swift,87980,2026-03-19 21:49:26+00:00,2026-03-20 13:22:11+00:00,0,"['verifier', 'crash', 'SIL', 'triage needed']",5,1
apple/swift,87963,2026-03-19 16:20:47+00:00,2026-03-19 16:21:37+00:00,0,['AutoDiff'],2,1
apple/swift,87957,2026-03-19 13:13:47+00:00,2026-03-20 17:35:23+00:00,1,['triage needed'],3,1
apple/swift,87955,2026-03-19 12:11:11+00:00,2026-03-20 18:22:33+00:00,1,"['bug', 'Windows', 'runtime']",1,1
apple/swift,87943,2026-03-18 22:47:02+00:00,2026-03-20 16:16:52+00:00,1,"['Windows', 'IRGen', 'triage needed']",1,1
apple/swift,87917,2026-03-17 21:32:26+00:00,2026-03-23 20:40:39+00:00,5,"['triage needed', 'swift 6.3']",1,1
apple/swift,87906,2026-03-17 14:14:25+00:00,2026-03-27 12:35:16+00:00,9,['triage needed'],9,1
apple/swift,87899,2026-03-17 11:55:57+00:00,2026-03-19 18:03:07+00:00,2,"['Windows', 'swift-backtrace']",1,1
apple/swift,87881,2026-03-16 16:18:21+00:00,2026-03-22 11:46:27+00:00,5,"['crash', 'triage needed']",10,1
apple/swift,88029,2026-03-16 10:27:48+00:00,2026-03-24 10:55:45+00:00,8,['SourceKit'],5,1
apple/swift,87860,2026-03-13 19:46:43+00:00,2026-03-18 15:29:06+00:00,4,"['off topic', 'SwiftUI']",1,1
apple/swift,87818,2026-03-11 20:42:08+00:00,2026-03-23 13:51:11+00:00,11,"['compiler', 'diagnostics quality', 'closures', 'expressions', 'swift 6.3']",1,1
