repo,issue_number,created_at,closed_at,duration_days,labels,comments,event
tornadoweb/tornado,3594,2026-03-18 03:32:27+00:00,2026-03-18 19:45:49+00:00,0,[],1,1
tornadoweb/tornado,3574,2026-01-30 20:40:16+00:00,2026-02-11 20:43:45+00:00,12,[],5,1
tornadoweb/tornado,3567,2025-12-25 19:18:15+00:00,2026-01-02 20:02:18+00:00,8,[],2,1
tornadoweb/tornado,3562,2025-12-15 10:39:36+00:00,2025-12-15 18:28:19+00:00,0,[],4,1
tornadoweb/tornado,3548,2025-12-02 14:26:05+00:00,2025-12-02 19:26:46+00:00,0,[],0,1
tornadoweb/tornado,3547,2025-11-28 10:24:56+00:00,2025-12-03 19:22:11+00:00,5,[],1,1
tornadoweb/tornado,3545,2025-11-27 13:23:33+00:00,2026-03-20 01:31:04+00:00,112,[],5,1
tornadoweb/tornado,3544,2025-11-21 17:50:29+00:00,2025-11-21 19:33:33+00:00,0,[],3,1
tornadoweb/tornado,3541,2025-10-14 15:41:24+00:00,2025-10-14 16:01:04+00:00,0,[],1,1
tornadoweb/tornado,3520,2025-07-11 03:20:11+00:00,2025-07-25 03:36:07+00:00,14,[],4,1
tornadoweb/tornado,3517,2025-07-02 13:20:52+00:00,2025-07-24 20:44:32+00:00,22,[],2,1
tornadoweb/tornado,3516,2025-06-27 17:43:46+00:00,2025-06-27 21:04:38+00:00,0,[],0,1
tornadoweb/tornado,3514,2025-06-19 23:39:04+00:00,2025-07-02 12:44:38+00:00,12,[],0,1
tornadoweb/tornado,3510,2025-06-11 23:24:27+00:00,2025-07-22 20:43:44+00:00,40,[],3,1
tornadoweb/tornado,3507,2025-06-04 01:26:05+00:00,2025-06-04 12:41:14+00:00,0,[],1,1
tornadoweb/tornado,3502,2025-05-21 10:48:47+00:00,2025-05-22 17:52:09+00:00,1,[],1,1
tornadoweb/tornado,3500,2025-05-15 23:40:50+00:00,2025-11-21 18:59:59+00:00,189,[],2,1
tornadoweb/tornado,3493,2025-05-01 13:51:45+00:00,2025-05-15 23:04:44+00:00,14,[],1,1
tornadoweb/tornado,3481,2025-04-13 17:19:42+00:00,2025-04-28 16:57:37+00:00,14,[],2,1
tornadoweb/tornado,3480,2025-04-13 17:18:09+00:00,2025-04-25 19:46:36+00:00,12,[],1,1
tornadoweb/tornado,3476,2025-04-01 15:17:24+00:00,2025-04-01 21:15:50+00:00,0,[],2,1
tornadoweb/tornado,3470,2025-03-24 17:49:22+00:00,2025-03-25 13:08:04+00:00,0,[],1,1
tornadoweb/tornado,3468,2025-03-19 15:33:37+00:00,2025-04-25 19:27:28+00:00,37,[],4,1
tornadoweb/tornado,3467,2025-03-03 09:39:55+00:00,2025-03-04 20:40:23+00:00,1,[],3,1
tornadoweb/tornado,3462,2025-02-20 19:44:50+00:00,2025-02-25 15:41:37+00:00,4,[],2,1
tornadoweb/tornado,3459,2025-02-14 04:01:25+00:00,2025-02-19 15:30:09+00:00,5,[],5,1
tornadoweb/tornado,3458,2025-02-11 18:55:48+00:00,2025-02-20 22:47:26+00:00,9,[],2,1
tornadoweb/tornado,3456,2025-02-10 17:58:54+00:00,2025-02-21 14:11:32+00:00,10,[],2,1
tornadoweb/tornado,3450,2024-12-18 15:36:53+00:00,2025-04-28 16:58:46+00:00,131,[],1,1
tornadoweb/tornado,3443,2024-11-14 13:39:28+00:00,2025-03-07 20:13:35+00:00,113,[],4,1
tornadoweb/tornado,3440,2024-11-09 04:50:01+00:00,2025-04-28 16:59:47+00:00,170,[],1,1
tornadoweb/tornado,3435,2024-10-28 08:19:40+00:00,2025-03-30 01:54:44+00:00,152,[],0,1
tornadoweb/tornado,3432,2024-10-22 16:07:24+00:00,2024-10-22 17:06:23+00:00,0,[],2,1
tornadoweb/tornado,3430,2024-10-21 08:52:47+00:00,2024-10-25 17:48:45+00:00,4,[],5,1
tornadoweb/tornado,3424,2024-10-02 23:18:41+00:00,2024-10-07 19:56:48+00:00,4,[],5,1
tornadoweb/tornado,3423,2024-09-25 07:16:59+00:00,2024-09-25 07:18:46+00:00,0,[],0,1
tornadoweb/tornado,3421,2024-09-08 12:48:56+00:00,2024-09-09 13:51:36+00:00,1,[],2,1
tornadoweb/tornado,3418,2024-08-29 00:13:32+00:00,2024-09-16 06:49:48+00:00,18,[],3,1
tornadoweb/tornado,3415,2024-07-29 16:08:49+00:00,2025-03-30 01:49:19+00:00,243,[],2,1
tornadoweb/tornado,3408,2024-06-26 18:14:07+00:00,2024-07-15 17:23:04+00:00,18,[],7,1
tornadoweb/tornado,3406,2024-06-17 16:14:14+00:00,2024-06-29 18:25:31+00:00,12,[],2,1
tornadoweb/tornado,3401,2024-06-12 12:56:13+00:00,2024-06-13 12:59:00+00:00,1,[],4,1
tornadoweb/tornado,3392,2024-06-07 08:48:54+00:00,2024-06-07 08:55:54+00:00,0,[],1,1
tornadoweb/tornado,3390,2024-06-06 19:09:32+00:00,2024-07-11 19:12:17+00:00,35,['other'],3,1
tornadoweb/tornado,3375,2024-04-30 14:42:17+00:00,2024-06-03 20:38:32+00:00,34,[],1,1
tornadoweb/tornado,3373,2024-04-27 17:30:10+00:00,2025-04-28 17:04:27+00:00,365,"['websocket', 'investigation']",8,1
tornadoweb/tornado,3372,2024-04-14 16:01:27+00:00,2024-04-14 18:24:01+00:00,0,[],1,1
tornadoweb/tornado,3369,2024-04-10 13:42:57+00:00,2025-04-28 17:05:35+00:00,383,['httputil'],1,1
tornadoweb/tornado,3368,2024-03-25 14:59:05+00:00,2024-04-25 14:47:42+00:00,30,[],0,1
tornadoweb/tornado,3366,2024-03-11 22:10:51+00:00,2024-03-11 22:48:46+00:00,0,[],1,1
tornadoweb/tornado,3359,2024-02-07 22:09:05+00:00,2025-04-28 17:06:54+00:00,445,"['websocket', 'investigation']",1,1
tornadoweb/tornado,3355,2024-01-11 13:27:16+00:00,2024-03-03 17:04:17+00:00,52,[],1,1
tornadoweb/tornado,3351,2023-11-23 09:23:36+00:00,2023-12-02 02:02:52+00:00,8,[],1,1
tornadoweb/tornado,3350,2023-11-20 21:52:36+00:00,2023-12-05 14:50:15+00:00,14,[],2,1
tornadoweb/tornado,3349,2023-11-16 12:07:34+00:00,2024-03-03 16:03:02+00:00,108,[],1,1
tornadoweb/tornado,3345,2023-11-08 16:04:32+00:00,2023-11-12 01:41:27+00:00,3,[],2,1
tornadoweb/tornado,3342,2023-11-05 16:56:00+00:00,2023-11-10 16:46:41+00:00,4,[],2,1
tornadoweb/tornado,3336,2023-10-07 03:13:43+00:00,2024-06-07 19:16:45+00:00,244,[],0,1
tornadoweb/tornado,3334,2023-10-03 13:59:29+00:00,2023-11-07 01:07:14+00:00,34,[],4,1
tornadoweb/tornado,3328,2023-09-28 17:29:37+00:00,2024-06-07 20:03:18+00:00,253,[],0,1
tornadoweb/tornado,3327,2023-09-27 08:44:24+00:00,2023-11-06 00:02:32+00:00,39,[],3,1
tornadoweb/tornado,3323,2023-09-19 08:58:55+00:00,2023-09-21 00:00:35+00:00,1,[],1,1
tornadoweb/tornado,3322,2023-09-13 14:24:50+00:00,2023-09-25 00:58:20+00:00,11,[],1,1
tornadoweb/tornado,3321,2023-09-13 10:02:58+00:00,2025-04-24 20:05:45+00:00,589,['http1connection'],9,1
tornadoweb/tornado,3320,2023-08-25 00:59:17+00:00,2023-08-25 01:53:52+00:00,0,[],1,1
tornadoweb/tornado,3318,2023-08-23 09:40:32+00:00,2023-08-24 12:35:25+00:00,1,[],2,1
tornadoweb/tornado,3314,2023-08-16 12:04:28+00:00,2024-06-07 20:03:19+00:00,296,[],0,1
tornadoweb/tornado,3313,2023-08-15 15:37:44+00:00,2023-09-25 00:47:29+00:00,40,[],6,1
tornadoweb/tornado,3311,2023-08-12 07:22:15+00:00,2023-08-12 18:41:04+00:00,0,[],2,1
tornadoweb/tornado,3310,2023-08-12 01:26:30+00:00,2025-03-20 22:05:44+00:00,586,['httputil'],5,1
tornadoweb/tornado,3299,2023-07-24 08:54:20+00:00,2023-07-27 07:44:57+00:00,2,['wsgi'],2,1
tornadoweb/tornado,3296,2023-07-10 18:11:59+00:00,2023-07-11 00:17:21+00:00,0,[],4,1
tornadoweb/tornado,3293,2023-07-07 21:39:34+00:00,2024-06-13 14:40:34+00:00,341,[],2,1
tornadoweb/tornado,3291,2023-07-05 11:18:26+00:00,2023-07-08 01:26:32+00:00,2,[],3,1
tornadoweb/tornado,3290,2023-06-26 05:38:34+00:00,2024-06-13 14:38:46+00:00,353,[],1,1
tornadoweb/tornado,3289,2023-06-23 18:46:33+00:00,2023-06-23 22:45:49+00:00,0,[],4,1
tornadoweb/tornado,3287,2023-06-20 21:56:03+00:00,2024-06-13 14:38:06+00:00,358,[],5,1
tornadoweb/tornado,3286,2023-06-20 14:01:47+00:00,2023-06-21 00:31:18+00:00,0,[],1,1
tornadoweb/tornado,3282,2023-06-17 07:46:18+00:00,2023-06-17 14:14:09+00:00,0,[],0,1
tornadoweb/tornado,3281,2023-06-15 21:38:10+00:00,2024-06-13 14:36:58+00:00,363,[],4,1
tornadoweb/tornado,3278,2023-06-08 10:15:45+00:00,2023-06-22 01:15:07+00:00,13,[],1,1
tornadoweb/tornado,3275,2023-06-01 04:04:35+00:00,2023-06-04 18:42:07+00:00,3,[],3,1
tornadoweb/tornado,3265,2023-05-12 13:00:54+00:00,2023-05-12 19:50:12+00:00,0,[],3,1
tornadoweb/tornado,3258,2023-04-24 15:00:55+00:00,2025-04-22 17:19:01+00:00,729,"['websocket', 'investigation']",3,1
tornadoweb/tornado,3253,2023-04-21 13:10:20+00:00,2023-05-03 16:52:54+00:00,12,[],6,1
tornadoweb/tornado,3252,2023-04-18 16:27:16+00:00,2023-04-21 20:24:16+00:00,3,[],2,1
tornadoweb/tornado,3242,2023-03-28 18:32:27+00:00,2023-03-28 18:56:08+00:00,0,[],2,1
tornadoweb/tornado,3241,2023-03-26 19:25:29+00:00,2023-04-08 20:01:11+00:00,13,[],5,1
tornadoweb/tornado,3240,2023-03-13 15:06:15+00:00,2023-04-08 20:04:00+00:00,26,[],3,1
tornadoweb/tornado,3239,2023-03-12 21:28:14+00:00,2024-06-12 14:04:07+00:00,457,['docs'],0,1
tornadoweb/tornado,3237,2023-02-21 09:15:59+00:00,2023-02-21 14:58:31+00:00,0,[],1,1
tornadoweb/tornado,3236,2023-02-20 01:58:48+00:00,2023-02-21 21:41:49+00:00,1,[],6,1
tornadoweb/tornado,3234,2023-02-17 06:28:26+00:00,2023-02-18 18:54:18+00:00,1,[],1,1
tornadoweb/tornado,3233,2023-02-17 06:18:39+00:00,2023-02-18 18:53:55+00:00,1,[],1,1
tornadoweb/tornado,3225,2023-01-30 19:51:42+00:00,2023-05-02 17:16:06+00:00,91,['process'],1,1
tornadoweb/tornado,3222,2023-01-26 00:44:26+00:00,2023-01-26 17:13:11+00:00,0,[],6,1
tornadoweb/tornado,3217,2023-01-19 19:21:18+00:00,2023-05-02 17:32:25+00:00,102,[],0,1
